day_ar,fism_pred,fism_wv
2007064,"[  1.72276104e-05   1.73013905e-05   1.74879533e-05 ...,  -8.07597098e-05
  -8.07984688e-05  -8.08372279e-05]",11.75
2007065,"[  1.03420853e-05   1.03881202e-05   1.05042027e-05 ...,  -5.05358221e-05
  -5.05586140e-05  -5.05814060e-05]",11.8500003815
2007066,"[  1.05511444e-05   1.05959734e-05   1.07088326e-05 ...,  -4.64681943e-05
  -4.64896038e-05  -4.65110134e-05]",11.9500002861
2007067,"[  9.69468419e-06   9.74894738e-06   9.88649754e-06 ...,  -5.85821763e-05
  -5.86119022e-05  -5.86416281e-05]",12.0500001907
2007068,"[  1.03782413e-05   1.04288592e-05   1.05574572e-05 ...,  -5.58453212e-05
  -5.58742104e-05  -5.59031032e-05]",12.1500000954
2007069,"[  1.22191595e-05   1.22410165e-05   1.22799593e-05 ...,  -4.65115154e-05
  -4.65335143e-05  -4.65555095e-05]",12.25
2007070,"[  1.20244886e-05   1.20771310e-05   1.22109668e-05 ...,  -4.52736276e-05
  -4.53038483e-05  -4.53340654e-05]",12.3500003815
2007071,"[  7.07552681e-06   7.10990616e-06   7.19730588e-06 ...,  -3.42434578e-05
  -3.42632811e-05  -3.42831045e-05]",12.4500002861
2007072,"[  5.93649838e-06   5.96549489e-06   6.03900435e-06 ...,  -2.85387760e-05
  -2.85546321e-05  -2.85704900e-05]",12.5500001907
2007073,"[  4.87669149e-06   4.90239609e-06   4.96755820e-06 ...,  -2.56894200e-05
  -2.57034408e-05  -2.57174634e-05]",12.6500000954
2007074,"[  8.25783809e-06   8.29167038e-06   8.37694370e-06 ...,  -3.20997351e-05
  -3.21162588e-05  -3.21327789e-05]",12.75
2007075,"[  7.55178098e-06   7.57604084e-06   7.61821821e-06 ...,  -5.43708411e-05
  -5.43905007e-05  -5.44101604e-05]",12.8500003815
2007076,"[  9.02587726e-06   9.06637433e-06   9.16872523e-06 ...,  -4.29204774e-05
  -4.29414395e-05  -4.29623979e-05]",12.9500002861
2007077,"[  1.19603064e-05   1.20098057e-05   1.21342355e-05 ...,  -4.29392167e-05
  -4.29619431e-05  -4.29846696e-05]",13.0500001907
2007078,"[  1.56045080e-05   1.56677015e-05   1.58262465e-05 ...,  -5.48258977e-05
  -5.48541138e-05  -5.48823227e-05]",13.1500000954
2007079,"[  8.39471249e-06   8.42634745e-06   8.48028958e-06 ...,  -7.10167951e-05
  -7.10376771e-05  -7.10585591e-05]",13.25
2007080,"[  8.64286994e-06   8.67013932e-06   8.71740394e-06 ...,  -5.78026702e-05
  -5.78241779e-05  -5.78456857e-05]",13.3500003815
2007081,"[  9.30941405e-06   9.35013577e-06   9.45346073e-06 ...,  -3.76415119e-05
  -3.76642784e-05  -3.76870448e-05]",13.4500002861
2007082,"[  6.76973559e-06   6.78639526e-06   6.81553820e-06 ...,  -3.55588636e-05
  -3.55731390e-05  -3.55874145e-05]",13.5500001907
2007083,"[  8.37144125e-06   8.40301254e-06   8.48272612e-06 ...,  -3.26895824e-05
  -3.27056478e-05  -3.27217131e-05]",13.6500000954
2007084,"[  7.55328574e-06   7.58586657e-06   7.66795802e-06 ...,  -3.02038097e-05
  -3.02195240e-05  -3.02352382e-05]",13.75
2007085,"[  9.40028713e-06   9.43493342e-06   9.52274968e-06 ...,  -2.91005126e-05
  -2.91193119e-05  -2.91381111e-05]",13.8500003815
2007086,"[  7.74360251e-06   7.78069170e-06   7.87450972e-06 ...,  -3.44944456e-05
  -3.45138251e-05  -3.45332082e-05]",13.9500002861
2007087,"[  1.09869206e-05   1.10511119e-05   1.12125763e-05 ...,  -6.45919645e-05
  -6.46218832e-05  -6.46517947e-05]",14.0500001907
2007088,"[  9.61467140e-06   9.67169581e-06   9.81662288e-06 ...,  -6.18010235e-05
  -6.18339691e-05  -6.18669146e-05]",14.1500005722
2007089,"[  7.29857447e-06   7.32842454e-06   7.40376800e-06 ...,  -2.87452312e-05
  -2.87601870e-05  -2.87751427e-05]",14.25
2007090,"[  9.81436096e-06   9.85271163e-06   9.94929269e-06 ...,  -3.39006328e-05
  -3.39189064e-05  -3.39371800e-05]",14.3500003815
2007091,"[  1.95426219e-05   1.96147685e-05   1.97967674e-05 ...,  -6.19423226e-05
  -6.19784551e-05  -6.20145802e-05]",14.4499998093
2007092,"[  1.93944070e-05   1.94605309e-05   1.96274996e-05 ...,  -4.78482325e-05
  -4.78820366e-05  -4.79158407e-05]",14.5500001907
2007093,"[  1.29436639e-05   1.29963300e-05   1.31291126e-05 ...,  -4.27768791e-05
  -4.28028070e-05  -4.28287349e-05]",14.6500005722
2007094,"[  1.66678128e-05   1.67604048e-05   1.69945051e-05 ...,  -7.97896573e-05
  -7.98373294e-05  -7.98850015e-05]",14.75
2007095,"[  6.58030986e-05   6.60619917e-05   6.67236163e-05 ...,  -1.62998069e-04
  -1.63160017e-04  -1.63321965e-04]",14.8500003815
2007096,"[  1.70015956e-05   1.70557269e-05   1.71929551e-05 ...,  -4.21728473e-05
  -4.22023804e-05  -4.22319099e-05]",14.9499998093
