w,t_zr,t_al_mg
83.69,17.0103740818,0.00422185163197
81.4895,17.2282159695,0.00588934172249
79.3408,17.3737255815,0.00822571680526
77.2543,17.629201866,0.011471616028
75.2199,18.0032475975,0.0160596811931
73.238,18.1576387993,0.0222864227237
71.3086,19.0754519468,0.0320424271094
69.4315,19.6720033824,0.0460565344918
67.6028,19.9278804966,0.0682542506221
65.8224,19.0505155496,0.100814388966
64.0904,16.8771638747,0.14622227866
62.4,14.1584309778,0.206062724699
60.7577,11.1274673808,0.280379288033
59.1573,9.11075518959,0.376549333507
57.5989,7.79772155044,0.501897455322
56.0823,6.88373156415,0.668768717575
54.6051,6.42127635869,0.874138613435
53.1672,6.13865943613,1.12292108427
51.7685,5.97039036352,1.4318435039
50.4046,5.96481223528,1.80610938529
49.0776,5.9159858958,2.23796354106
47.7837,5.81972138072,2.73763074957
46.5266,5.83201908528,3.33709450886
45.3007,5.98060356847,4.10090246948
44.108,6.12977558524,4.99811202081
42.9467,4.31422081109,4.13839932571
41.8154,4.51463651041,5.05136070064
40.714,4.74454748235,6.13001116813
39.6425,5.03218279957,7.35778608106
38.5983,5.3227664174,8.74147891566
37.5815,5.72859274242,10.2855234306
36.592,6.21568328018,12.0253396348
35.6277,6.7569252583,13.991987165
34.6895,7.34666707227,16.1366290404
33.7765,7.96435901633,18.4166812919
32.8868,8.65498440519,20.8505451555
32.0204,9.47171288904,23.4654417647
31.1772,10.4643811518,26.4444704355
30.3565,11.5212455085,29.5952580498
29.5568,12.6422647796,32.9056711272
28.7787,14.0572903929,36.3602233476
28.0209,15.560749427,39.9756093174
27.2827,17.1030998939,43.7343048831
26.5642,18.7666238731,47.8773993767
25.8648,20.5899333371,52.3202484396
25.1833,22.5037714965,56.8755387893
24.5204,24.5053900912,61.5284210971
23.8748,26.5902038602,66.2630308831
23.2458,28.9677115531,71.0369841199
22.6338,31.2899020632,74.6160332334
22.0375,34.2359583945,79.4317366197
21.4574,37.729220436,85.2430076863
20.8922,41.4039325078,91.1307939178
20.342,45.2177745484,97.0192967023
19.8064,49.1523182685,102.849329433
19.2847,53.4206369255,108.638833138
18.7768,58.2174404071,114.358022568
18.2825,63.1236585406,119.902049459
17.801,68.0701061983,125.157036954
17.3322,73.0467979579,130.231904706
16.8756,78.3789353774,135.737774991
16.4312,84.639594081,142.592154264
15.9986,90.8024149036,149.09338139
15.5773,96.829341644,155.166908558
15.1669,102.691431625,160.796191285
14.7677,108.379993226,165.918662973
14.3787,114.770262085,170.477306004
14.0,121.064133302,174.451993238
13.6313,126.897073594,177.80146755
13.2723,132.137055198,180.41301913
12.9228,136.686157023,182.243399175
12.5825,139.378399922,183.198509862
12.2512,142.392233904,185.02629713
11.9282,145.226804328,186.725739545
11.6142,150.265048755,190.931351563
11.308,154.899313982,194.184408223
11.0107,158.719832483,196.459337228
10.7203,161.762589681,197.831270593
10.4387,164.005685015,198.313192121
10.1631,165.495333527,197.976800167
9.89622,166.230242926,196.838041907
9.63547,166.304759157,194.99540442
9.38172,165.690785904,132.994304939
9.13425,164.438300041,133.934995187
8.89375,162.604738774,134.261835722
8.65954,160.217145482,133.987635536
8.43161,157.351648985,133.165493813
8.20939,153.995277656,131.776721988
7.99342,150.111876572,129.785352738
7.78266,145.908354607,115.467009104
7.57809,141.458441244,113.620368118
7.37829,136.81121835,111.428728128
7.18417,132.015580994,108.93235281
6.99487,127.170536738,106.284926246
6.81079,131.087981169,110.894457257
6.63118,461.800848492,395.113868233
6.45677,495.602554837,428.532568534
6.28651,527.777978377,460.868970322
6.12107,558.032309775,491.762526681
5.95981,586.203787476,521.11923869
5.80302,612.035106162,548.583148859
5.65015,635.470822653,574.000623817
5.50122,565.889301724,597.135060503
5.35646,547.412677708,617.76769202
5.2154,566.989897085,635.781024144
5.07803,584.132305626,651.058855204
4.94436,598.700529601,663.508643546
4.81399,593.507288516,673.13202729
4.68731,603.622931825,679.811425719
4.56393,611.156126369,683.679697308
4.44369,616.070874917,684.75486615
4.3266,618.429993481,683.170714729
4.21265,618.262612409,679.000036331
4.10171,615.681583694,672.424970041
3.99375,610.84018496,663.6206949
3.88852,603.859107123,652.765441421
3.78615,594.915609901,640.05935872
3.6864,584.170164141,625.685984537
3.58938,571.838964486,609.892091684
3.49487,558.07484254,592.831976642
3.40278,543.104753251,574.755022041
3.3132,527.118613805,555.855219716
3.22595,510.297271016,536.315299507
3.14103,492.783978904,516.275944085
3.05827,474.765934359,495.922985236
2.97776,456.39666428,475.405851698
2.89934,437.812218427,454.851418803
2.82295,419.168607324,434.409939621
2.7486,400.550108274,414.154611563
2.67621,382.080557207,394.200712302
2.60573,363.851742646,374.629708168
2.53715,345.948595549,355.516533368
2.47031,328.423617774,336.903520415
2.40527,311.337764182,318.841461604
2.34193,294.753519144,301.38392458
2.28024,278.686351976,284.536879453
2.22021,263.185406099,268.341136499
2.16171,248.258144523,252.795684468
2.10479,233.932414853,237.921537203
2.04936,220.200538605,223.703420349
1.9954,207.076150376,210.149057548
1.94286,194.560943295,197.253806555
1.89169,182.641637578,184.9993586
1.84186,171.304358346,173.366639139
1.79337,160.553682619,162.356245836
1.74613,150.368866655,151.943119089
1.70015,140.72795407,142.101728192
1.65538,131.617826683,132.815805286
1.61178,123.023688573,124.067653332
1.56934,114.921551039,115.830808404
1.528,107.290031492,108.081361795
1.48777,100.112952316,100.801348447
1.44859,93.3707384487,93.9692178393
1.41043,87.0358686808,87.5558718978
1.37329,81.0960291672,81.5476584138
1.33712,75.5251373669,75.9171935944
1.30192,70.3112830785,70.6514572696
1.26763,65.4252354095,65.7202595344
1.23427,61.2040977666,61.4587878875
1.20173,57.1882498386,57.4081142199
1.17008,53.1578732776,53.3483340369
1.13933,49.3948241176,49.5597619152
1.10925,45.8803121233,46.0230621659
1.08007,42.6054342725,42.7289548899
1.05166,39.5506219573,39.6574746707
1.02395,36.7028579258,36.7952439032
0.996944,34.0500474425,34.1298990746
0.970715,31.5824700017,31.6514738021
0.945109,29.2840195211,29.3436224619
0.920273,27.1475387329,27.1990143315
0.895996,25.1567965156,25.2012283705
0.872414,23.3093959854,23.3477431131
0.849459,21.5893522262,21.622432668
0.827073,19.9930359488,20.0215657567
0.805314,18.5101322423,18.5347303954
0.784074,17.1320443829,17.1532432147
0.763456,15.8536698513,15.8719355084
0.743315,14.6661105891,14.6818411098
0.723743,13.5648241839,13.5783680488
0.704695,12.5434191133,12.5550764429
0.68613,11.5538119576,11.6057606264
0.668086,10.6472626519,10.7261789951
0.650488,9.84226749144,9.91042156515
0.63334,9.09553912659,9.15435350774
0.616674,8.40325429541,8.45397745955
0.600426,7.76196249459,7.80567831351
0.584626,7.16859267389,7.20625189914
0.569218,6.61921641095,6.65163877251
0.554229,6.11101888449,6.13891829238
0.539634,5.64094753443,5.66494372855
0.52543,5.20625667189,5.22688684186
0.511596,4.80420014266,4.82192719089
0.498112,4.43239406596,4.44761902763
0.484997,4.08884754023,4.10191877342
0.472231,3.77136582792,3.7825834909
0.459795,3.47795656327,3.48757940927
0.447674,3.20679622997,3.21504733873
0.435885,2.95641175968,2.96348400922
0.424409,2.72519235978,2.73125247461
0.413233,2.51164958361,2.51684020972
